X,Y,id,ref,@spider,amenity,cuisine,takeaway,addr:full,addr:city,addr:state,addr:postcode,addr:country,name,phone,website,brand,brand:wikidata,nsi_id
-121.3324090,44.0493380,aVE-2cDuTIzof8JLXlr9MCdP_Qs=,"143 SW Century Drive, Bend, OR - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,143 SW Century Drive,Bend,OR,97702-1131,US,"143 SW Century Drive, Bend, OR - Jersey Mike's Subs", ,https://www.jerseymikes.com/32008/bend-or,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-122.7909990,45.4474370,uepAJbUSbhWzGp4ToTKMw16cq7g=,"10035 SW Nimbus Ave, Beaverton, OR - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,10035 SW Nimbus Ave,Beaverton,OR,97008-7177,US,"10035 SW Nimbus Ave, Beaverton, OR - Jersey Mike's Subs", ,https://www.jerseymikes.com/32002/beaverton-or,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-122.8116610,45.4962160,VSP3HiOoMEk-U4UjYXrd6u6rloI=,"3205 SW Cedar Hill Blvd, Beaverton, OR - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,3205 SW Cedar Hill Blvd,Beaverton,OR,97005-1347,US,"3205 SW Cedar Hill Blvd, Beaverton, OR - Jersey Mike's Subs", ,https://www.jerseymikes.com/32001/beaverton-or,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-76.9345080,40.2407940,92sPubw-KW3ejbPeUHhZsGKdtPU=,"25 North 32nd Street, Camp Hill, PA - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,25 North 32nd Street,Camp Hill,PA,17011-2918,US,"25 North 32nd Street, Camp Hill, PA - Jersey Mike's Subs", ,https://www.jerseymikes.com/8037/camp-hill-pa,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-76.8933920,40.2307120,iOqr1NNhTJcQ3f4LvKzJWuXQddY=,"1120 Carlisle Road, Camp Hill, PA - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,1120 Carlisle Road,Camp Hill,PA,17011-6202,US,"1120 Carlisle Road, Camp Hill, PA - Jersey Mike's Subs", ,https://www.jerseymikes.com/8073/camp-hill-pa,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-79.9460150,40.8763040,INl6o45eb_QiK6vso8A1Tx6MDxw=,"340 New Castle Rd, Butler, PA - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,340 New Castle Rd,Butler,PA,16001-2440,US,"340 New Castle Rd, Butler, PA - Jersey Mike's Subs", ,https://www.jerseymikes.com/8058/butler-pa,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-80.1050830,40.3694720,mRQQFiOhzPXGqm6F0kd6CPkAT_c=,"1155 Washington Pike, Bridgeville, PA - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,1155 Washington Pike,Bridgeville,PA,15017-2827,US,"1155 Washington Pike, Bridgeville, PA - Jersey Mike's Subs", ,https://www.jerseymikes.com/8014/bridgeville-pa,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-75.2913330,40.1656680,XFZJLTWMOvuBN7XLU7Gt16NfhZQ=,"960 Dekalb Pike, Blue Bell, PA - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,960 Dekalb Pike,Blue Bell,PA,19422-1810,US,"960 Dekalb Pike, Blue Bell, PA - Jersey Mike's Subs", ,https://www.jerseymikes.com/8028/blue-bell-pa,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-79.8659120,40.4943440,pb4ZBoKaLiO4rDJ-6b9b_cMoHJ8=,"171 Freeport Road, Blawnox, PA - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,171 Freeport Road,Blawnox,PA,15238-3426,US,"171 Freeport Road, Blawnox, PA - Jersey Mike's Subs", ,https://www.jerseymikes.com/8066/blawnox-pa,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-80.0218700,40.3324790,ZX2RO3ONNpG_Rnk138gNcloIB7M=,"5255 Library Road, Bethel Park, PA - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,5255 Library Road,Bethel Park,PA,15102-2714,US,"5255 Library Road, Bethel Park, PA - Jersey Mike's Subs", ,https://www.jerseymikes.com/8032/bethel-park-pa,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
