gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
2447664905,291a9c9c-2b4b-4593-ae88-7b17c5e41592,UChile:Puca:Dg12,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894","Dromiciops gliroides Thomas, 1894",,CL,Pucatrihue,Los Lagos,PRESENT,1,025d493f-c50c-4d6e-948b-62e86c86a49f,-40.565654,-73.717915,5,,,,,,11/30/2015 0:00,30,11,2015,2433393,2433393,LIVING_SPECIMEN,UChile,Puca,,Dg12,Hector Gonzalez,11/30/2015 0:00,CC_BY_NC_4_0,,,,,9/8/2022 18:13,,COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_INSTITUTION
2447664904,291a9c9c-2b4b-4593-ae88-7b17c5e41592,UChile:RCV:DgCtS63,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894","Dromiciops gliroides Thomas, 1894",,CL,Chaihuin,Los Rios,PRESENT,1,025d493f-c50c-4d6e-948b-62e86c86a49f,-39.992152,-73.59547,5,,,,,,1/17/2013 0:00,17,1,2013,2433393,2433393,MACHINE_OBSERVATION,UChile,RCV,,DgCtS63,Francisco Fonturbel,2/7/2013 0:00,CC_BY_NC_4_0,,,,,9/8/2022 18:13,,COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2447664903,291a9c9c-2b4b-4593-ae88-7b17c5e41592,UChile:RCV:DgQM57,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894","Dromiciops gliroides Thomas, 1894",,CL,Chaihuin,Los Rios,PRESENT,6,025d493f-c50c-4d6e-948b-62e86c86a49f,-39.974,-73.652,3,,,,,,3/6/2012 0:00,6,3,2012,2433393,2433393,MACHINE_OBSERVATION,UChile,RCV,,DgQM57,Francisco Fonturbel,3/8/2012 0:00,CC_BY_NC_4_0,,,,,9/8/2022 18:13,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2447664894,291a9c9c-2b4b-4593-ae88-7b17c5e41592,UChile:RCV:DgQM03,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894","Dromiciops gliroides Thomas, 1894",,CL,Chaihuin,Los Rios,PRESENT,2,025d493f-c50c-4d6e-948b-62e86c86a49f,-39.966,-73.649,3,,,,,,2/22/2012 0:00,22,2,2012,2433393,2433393,MACHINE_OBSERVATION,UChile,RCV,,DgQM03,Francisco Fonturbel,2/24/2012 0:00,CC_BY_NC_4_0,,,,,9/8/2022 18:13,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2447664893,291a9c9c-2b4b-4593-ae88-7b17c5e41592,UChile:RCV:DgCtS53,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894","Dromiciops gliroides Thomas, 1894",,CL,Chaihuin,Los Rios,PRESENT,6,025d493f-c50c-4d6e-948b-62e86c86a49f,-39.983539,-73.630638,5,,,,,,12/17/2012 0:00,17,12,2012,2433393,2433393,MACHINE_OBSERVATION,UChile,RCV,,DgCtS53,Francisco Fonturbel,1/14/2013 0:00,CC_BY_NC_4_0,,,,,9/8/2022 18:13,,COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2447664892,291a9c9c-2b4b-4593-ae88-7b17c5e41592,UChile:RCV:DgQM10,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894","Dromiciops gliroides Thomas, 1894",,CL,Chaihuin,Los Rios,PRESENT,2,025d493f-c50c-4d6e-948b-62e86c86a49f,-39.967,-73.649,3,,,,,,2/22/2012 0:00,22,2,2012,2433393,2433393,MACHINE_OBSERVATION,UChile,RCV,,DgQM10,Francisco Fonturbel,2/24/2012 0:00,CC_BY_NC_4_0,,,,,9/8/2022 18:13,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2447664890,291a9c9c-2b4b-4593-ae88-7b17c5e41592,UChile:RCV:DgT29,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894","Dromiciops gliroides Thomas, 1894",,CL,Chaihuin,Los Rios,PRESENT,1,025d493f-c50c-4d6e-948b-62e86c86a49f,-39.967,-73.648,3,,,,,,1/21/2014 0:00,21,1,2014,2433393,2433393,MACHINE_OBSERVATION,UChile,RCV,,DgT29,Francisco Fonturbel,2/15/2014 0:00,CC_BY_NC_4_0,,,,,9/8/2022 18:13,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2447664887,291a9c9c-2b4b-4593-ae88-7b17c5e41592,UChile:RCV:DgQM65,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894","Dromiciops gliroides Thomas, 1894",,CL,Chaihuin,Los Rios,PRESENT,2,025d493f-c50c-4d6e-948b-62e86c86a49f,-39.974,-73.652,3,,,,,,3/6/2012 0:00,6,3,2012,2433393,2433393,MACHINE_OBSERVATION,UChile,RCV,,DgQM65,Francisco Fonturbel,3/8/2012 0:00,CC_BY_NC_4_0,,,,,9/8/2022 18:13,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2447664882,291a9c9c-2b4b-4593-ae88-7b17c5e41592,UChile:RCV:DgCtS18,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894","Dromiciops gliroides Thomas, 1894",,CL,Chaihuin,Los Rios,PRESENT,1,025d493f-c50c-4d6e-948b-62e86c86a49f,-39.966705,-73.648776,5,,,,,,2/24/2012 0:00,24,2,2012,2433393,2433393,MACHINE_OBSERVATION,UChile,RCV,,DgCtS18,Francisco Fonturbel,3/5/2012 0:00,CC_BY_NC_4_0,,,,,9/8/2022 18:13,,COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2447664879,291a9c9c-2b4b-4593-ae88-7b17c5e41592,UChile:RCV:DgCtS16,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894","Dromiciops gliroides Thomas, 1894",,CL,Chaihuin,Los Rios,PRESENT,1,025d493f-c50c-4d6e-948b-62e86c86a49f,-39.992176,-73.595868,5,,,,,,2/24/2012 0:00,24,2,2012,2433393,2433393,MACHINE_OBSERVATION,UChile,RCV,,DgCtS16,Francisco Fonturbel,3/5/2012 0:00,CC_BY_NC_4_0,,,,,9/8/2022 18:13,,COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
